Tweet_Id,Author,Content
1709261071079583965,Jürgenholic Indonesia,"❗𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚: Audio percakapan wasit di ruang VAR telah diposting!

Kacau banget anjirr, mereka aslinya udah tahu itu onside.. 😭😭
https://t.co/uXXHpYiPjE"
1784196398424195087,.,"🚨 BREAKING 🚨

Wasit asal Tiongkok, 🇨🇳Shen Yinhao ditunjuk sebagai wasit utama pada laga Semifinal 🇶🇦Piala Asia U23 2024 antara 🇮🇩INDONESIA U23 kontra 🇺🇿Uzbekistan U23 (29/4)

Sementara itu wasit asal Thailand, 🇹🇭Sivakorn Pu-Udom ditunjuk sebagai wasit utama VAR. https://t.co/n5JTfM7lXy"
1790387481432760613,Extra Time Indonesia,Gimana menurutmu dengan perangkat VAR yang baru saja digunakan di Liga 1 malam ini? 🖥️😁 https://t.co/7Gsld0NOeF
1785309971871301831,Extra Time Indonesia,"🚨 Sivakorn Pu-udom, wasit VAR laga timnas Indonesia U-23 vs. Uzbekistan U-23 semalam, akan menjadi asisten VAR untuk laga vs. Iraq di perebutan tempat ketiga terbaik besok lusa. 🚨

NOOOOOOOO 😭😭😭😭😭 https://t.co/DLThhpqdKj"
1787736576606511154,Fran Rudini,"Kata nya deket sama FIFA, masa lobby ganti wasit aja ga bisa sih"
1788579247319330953,Extra Time Indonesia,"gini amat ga ada VAR padahal ditonton papa Messi

#Blibli @bliblidotcom"
1804896344357888271,Extra Time Indonesia,"MLS telah menerapkan regulasi dimana wasit akan mengumumkan hasil VAR kepada para penonton secara langsung.

Gimana menurut kalian? 🤔

https://t.co/eRuNsjhpQs"
1811290783326322967,Extra Time Indonesia,"🗣️""Coba apa yang akan kalian lakukan kalau jadi bek?Itu seharusnya bukan penalti. Dumfries cuma ingin mem-blok bola, lalu sepatu mereka bertabrakan. Keputusan VAR seperti itu menghancurkan sepakbola.""

- Ronald Koeman terkait penalti Inggris semalam 😡

📝 Post match interview https://t.co/ZzRIQ23CNb"
1721653081761542451,Extra Time Indonesia,"Derby London pagi ini : 

⚽ 6' Goal Kulusevski
❌ 14' Goal Son (dianulir VAR)
❌ 21' Goal Sterling (dianulir VAR)
❌ 28' Goal Caicedo (dianulir VAR)
🟥 33' Romero kartu merah
⚽ 35' Palmer (P)
➕ 12' menit tambahan waktu
🟥 54' Udogie kartu merah 
⚽️ 75' Jackson 
❌78' Goal Dier https://t.co/RGDsGUOLHp"
1844193803940528612,Extra Time Indonesia,"✅ RESMI : Wasit asal Oman, Ahmed Al-kaf, akan memimpin pertandingan Bahrain vs Indonesia malam ini.

Perangkat pertandingan :
Wasit utama: Ahmed Al-Kaf 🇴🇲
AW 1: Abu Baker Al-Amri 🇴🇲
AW 2: Rashid Al-Gathi 🇴🇲
4th official: Qasim Al-Hatmi 🇴🇲
VAR : Abdullah Al-Kandri 🇰🇼 https://t.co/gmKfAKZC2d"
1855743197944971321,Extra Time Indonesia,"🚨 JUST IN : Wasit VAR diperkirakan salah mengidentifikasi sepatu Aguerd yang seolah-olah itu adalah sepatu Lewandowski. 

Kesalahan fatal, gol Lewandowski menit 13' seharusnya sah. 😲

📝 @ArchivoVAR https://t.co/j5K1Flzt0m"
1887984269701824634,Extra Time Indonesia,"Leicester dirampok, woylah hakim garis.. 😭

*Sayangnya tidak ada VAR di ronde keempat FA Cup. https://t.co/fjnMkPhE93"
1787793731384705040,Homebeing,Kehabisan Wasit VAR ya Pipa?
1867218710139916302,48bola Indonesia,"Padahal bola sudah keluar dari garis dulu, tapi gol Laos tetap disahkan

Gunanya VAR apa yaa ??? 🤔

#TimnasDay #MitsubishiElectricCup #ASEANMitsubishiElectricCup2024 https://t.co/crVMStDraa"
1844416713405935748,Extra Time Indonesia,"Cek VAR potensi penalti 😭

#Blibli @bliblidotcom"
1787764988486275105,Extra Time Indonesia,SERIUS WASIT VAR BUAT LAGA INDONESIA U-23 VS. GUINEA U-23 JUGA SIVAKORN PU-UDOM? 😭😭😭😭😭
1790786983452909722,Extra Time Indonesia,"🚨 BREAKING: Klub Premier League Akan Melakukan Voting untuk Menghapus VAR Mulai Musim Depan. 😱

Pengajuan untuk menghapus sistem VAR dari Wolves telah diterima dan akan dibahas dalam agenda Rapat Umum Tahunan yang akan diadakan pada tanggal 6 Juni. Agar perubahan aturan dapat https://t.co/qXvp4lItZS"
1787713249863164033,Jar,Emg di dunia Sivakorn doang yg bisa make VAR? 🙃
1787754736437112900,Sora,Diikutin sampai Prancis. Bener-bener krisis wasit!
1786063819611238481,Extra Time Indonesia,"TAYANGAN VAR NYA TADI MANA ANJIM, GA DIKASIH LIAT"
1870476118287077387,Extra Time Indonesia,Keputusan VAR : Tetap penalti
1786071701153022076,Extra Time Indonesia,Masih kesel karena ga dikasih replay VAR pas review gol Irak tadi. Wasit ga kompeten. 👎
1761789903904641212,Extra Time Indonesia,"🚨 BREAKING: GOL VIRGIL VAN DIJK DIANULIR VAR!!!

GUE GATAU ALASANNYA APA. 😅

CHELSEA 0-0 LIVERPOOL

#Blibli @bliblidotcom"
1779935351983030740,Extra Time Indonesia,Ivar tidak berhenti menggoreng El VAR. 🤣🫵 https://t.co/ySv02DXDbd
1779924621464420818,Extra Time Indonesia,LAH QATAR PAS PELANGGARAN KERAS KE WITAN TADI GA ADA CEK VAR TUH??!!!
1762358276409495984,Extra Time Indonesia,"❗Goal yang paling sering dianulir VAR sejak diterapkan di LaLiga:

1. Real Madrid - 27 goal
2. Sevilla - 16 goal
3. Atletico Madrid - 14 goal
4. Valencia - 14 goal
5. Real Sociedad - 13 goal
6. Celta de Vigo - 12 goal

📄: @2010MisterChip https://t.co/0d94mkfEjw"
1787717078352613460,Algie Imam Agestian,"Kok saya gak yakin ya. Masa iya jauh-jauh ke perancis, wasit var sesama asean. Kayak gak ada wasit lain di perancis."
1787652534024458305,MakanBola Indonesia,"Jauh-jauh play off di Prancis. Lawannya juga dari benua lain, tapi wasit VAR-nya dikabarkan tetap dari Thailand 😔

""Indonesia ketika kita ingin bersiap melawan Guinea, ada kabar lagi-lagi wasit VAR Sivakorn akan memimpin,"" ujar Bung Ropan di YouTube pribadinya. https://t.co/Fc6S9lbiDK"
1786707281641685085,Extra Time Indonesia,"Maaf kalo masih newbie, Badminton gak pake VAR ya? 🤔"
1856860295307948339,Extra Time Indonesia,"🚨 JUST IN : FIFA dilaporkan tengah menguji coba Football Video Support (FVS) untuk menggantikan VAR di masa mendatang.

Cara kerja FVS lebih sederhana :
- Tidak membutuhkan asisten wasit seperti halnya VAR, wasit utama bisa mengoperasikannya sendiri.
- Wasit hanya akan meninjau https://t.co/nh1MiCRAyi"
1784968373656551509,Extra Time Indonesia,INI WASIT VAR NYA YANG DARI THAILAND ITU KAN?
1787789924311380073,Hendra Lesmana🇮🇩,Ya Allah.... emang ga bisa wasit VAR dari Eropa? Ngikutin King Indo mulu ni wasit Thai
,,
1790796613218336899,Extra Time Indonesia,"Sejumlah alasan yang dikemukakan Wolverhampton dalam surat yang dikirim ke Premier League agar VAR dihapus musim depan :

- Berkurangnya dampak pada selebrasi gol dan reaksi spontan yang seharusnya menjadikan sepak bola istimewa.

- Frustrasi dan kebingungan di dalam stadion https://t.co/TwspjmqPD9"
1784968309752168551,Extra Time Indonesia,LAH CEK VAR 😭😭😭😭
