Tweet_Id,Author,Content
1643853105350742017,swami ∴◠‿◠∴,Yalvarırım gidim bi kere artık ya
1763723993105023265,꙳⸌♡⸍꙳,"S! ⋆𐙚₊˚⊹♡ want to sale Yujin kep1er,bae, sulyoon nmixx 
@.winter040607 https://t.co/Uc9qFfTpbv"
1675024410527559681,IntoKpop,What it is #sulyoon #NMIXX #kpop https://t.co/A83VJAr8j3
1647141119871062016,ky || STICK OUT 🌟,"[✨] MixxMoments
MC Sulyoon interviewing IVE at Music Core today 💗

#NMIXX #엔믹스
#설윤 #SULLYOON https://t.co/l62OyMb9Pm"
1643903128247599105,Siyanee Purmah,The height difference
1667185035118538755,Nesh,Another heart cheek by lovely Sulyoon 🥰🥰 #NICETOMIXXYOUinJKT #NMIXX #엔믹스 @NMIXX_official https://t.co/PU97oygBlg
1800361898506158589,Fuyuu || ThankYouFuko𓂃⑅,"-JUWON
She looks 33,41% similar to chaehyun kep1er
but she is also
•31,21 % similar to  sullyoon Nmixx
•30,10% similar to rami Babymonster
•29,55% similar to youngeun Kep1er
•29,23% similar to nayeon Twice
wow this is an all rounder tie 😱 https://t.co/A3kAeerdZK"
1747571387202765204,ꜱᴘʀɪɴɢ ☆ 𓉞,"#MyungJaehyun DASH Dance Challenge with Sulyoon from NMIXX

#명재현 #보이넥스트도어
#BOYNEXTDOOR
 https://t.co/KwNst5oqGr"
1647135291524669441,ky || STICK OUT 🌟,"[✨] MixxMoments

MC Sulyoon Mr. Chu cover performance ending fairy ✨

#NMIXX #엔믹스
#설윤 #SULLYOON https://t.co/wToeRrmKm5"
1761641626806399242,SHIN,"JYP NATION GIRL GROUPS IN JYP's SIGNATURE WHITE OUTFIT🤍✨
#TWICE #ITZY #NMIXX #VCHA #JYP #NAYEON #JIHYO #SANA #MINA #JIWOO #LILY #SULYOON #YEJI #MOMO #RYUJIN #LIA #YUNA #HAEWON #ONCE #NSWER #MIDZY #LEXI #CAMILA #KAYLEE #KENDAL #JEONGYEON #KYUJIN #TZUYU #BAE #JINNI #DAHYUN #JYPE https://t.co/a5q8wZj866"
1800355415240442127,Fuyuu || ThankYouFuko𓂃⑅,"-Fuko
She looks 35.86% similar to Jiwoo Nmixx 
but she is also
• 34.24% similar to irene redvelvet 
•33,63% similar to hyunjin loona
•32,79% similar to joy redvelvet
•32,77% similar to sulyoon nmixx
so that's why she has an irene vibe😻 https://t.co/AB3UW0ff70"
