Tweet_Id,Author,Content
,,
1890856596361658706,pablo.,Bagi tugas yaa
1890726101963391396,Marissa Aillen,negara ini suka banget ngantri gitu ya
1890751271470076298,Sugimin New,Budayakan antri dan disiplin....🤣🤣
1890796819040379219,astvrh,Udah mulai Ngantri semua ya
1890767210248802611,Dinasti_313,Yang sabar dalam menjalankan kehidupan ini
1890786385117716773,FH,"satu kata, mirissss"
1890759477751660818,daphneee,Miris banget 😭😭
1890698467564998771,el,hahaha sedih bgt sedih
1890739863323910280,☠︎︎,Faktanya miris banget ya
1890862266939003122,clyno,Pada dapat bagian semua ya
1890738296373891557,bsyafaa0272,complete semua ya hidup keluarga kita
1890858236678443050,kamu,Semuanya pakai antri aja ya kak capek deh
1890743547374035017,......,Budaya antri udah melekat sm warga +62
1891013515999052098,Fırat İçlek,"Eh, daripada #KaburAjaDulu, mending cobain TuyulBet deh, seru banget bisa dapet duit banyak cuma main game doang, coba aja search di Google! 😉 #TuyulBet"
1890960625896915205,Om om Random,Bahlil dgn gigi ompongnya santai nyeruput Hibiki sambil nelpon 9 naga
1890884798756896798,Zhenya,"Haha keadaan indonesia saat ini, miriss"
1890785828592402875,kenan,susah bgt idup di indo
1890756671812567183,Composey_,Bagi tugas ya kak hehe
1890739953652433247,Valisa,kalopunya duit bakal kabur sih aku😭😭
1890793602973864092,karin ꣑ৎ,Kenapa ya semakin miris banget
1890703844218188008,Silfinov,Selamat datang di negeri yang sulit 🥲
1890717527048585375,ca,Sekarang semuanya serba sulit
1890787080965333223,ruang lifehack,miris banget liat ini ya kk
1890801841845436525,Bruce Wayne,kadang pengen juga kabur ke luar negri ya
1890784112874533083,zizi,semuanya aja ngantri aelah nggak ada yang bisa cepet-cepet apa
1890703946651480074,liedash,Jadi sedih bacanya serba antri
1890716903477313972,haikal.,sekarang banyak banget orang orang yang lebih milih kluar negeri dari pada di indo #KaburAjaDulu
1890749492946784506,?☆Ami,Apa-apa semuanya antri sekarang
1890688616466116828,A L C H E 💫,Udah paket lengkap banget sih
1890705939839303731,nara🍀,semuanya di suruh antri ya ka
1890979503725535249,elle,"Gaji cukup buat makan, tapi nggak cukup buat mimpi. Mau nabung, tapi habis di kebutuhan. Mau ngeluh, tapi takut dibilang kurang bersyukur."
1890775936078848224,jese,Keren bgt negara ini tuh
1890711490740593092,Anak_amak,ayok pindah ke negeri sebelah yok
1890695756882780474,movie id,komplit masa ke masa ya
1890751223516508286,Andi Jauhari,#KaburAjaDulu
1890686245749010523,Comfood,Ya Allah sedih banget ha
1890890843348996519,Ryan,Kabur kemana ya duh
1890838799925596308,yuanayu,Semuanya serba sulit ya sekarang 🥲
1890708966612603169,Dim,Lengkap sudah anggota keluarga yang berjuang
1890795578386227635,about cowek,"Semuanya ada bagian untuk ""antri"" yaa :))"
1890766729669640601,Bulgoso,Semua nya sekrang mah serba antri
1890742221885882459,tentang cinta@,Mudah-mudahan aja ya beban hidupnya selalu diringankan
1890785157272973763,jenaka,Semuanya serba susah ya
1890709340811624777,wanna be,"Semua serba antri deh, sabar aja yaa"
1890701510897537304,𝗥𝗮𝘆'𝘀 𝗔𝘀𝘁𝗿𝗼𝘀𝗰𝗮𝗽𝗲𝘀 🌈,Km mau kmn ka
1890704149764776197,Dakwah Time ,miris bgt ya kehidupan sekarang
1890683559347679380,Diancinta,Udah komplit banget sih tentang di negara ini mah setiap keluarganya udah pada ngantri
1890788555871429085,pamungkas joko,"Gw bpjs dapet nomer 1 terus ngalahin pasien umum. Bpjs mah pinter2 kita daftarnya aja, harus cepet jam 12 malam teng langsung daftar di aplikasi. 😁"
1890713835016716311,𝖌𝖆𝖇𝖗𝖎𝖊𝖑𝖑𝖆,bjir semua nya ngantri
1890683369240899625,Mind & Mystery Threads,waduh udah chaos banget ya
1890689332932931870,🎭,"gas kemana kita nih, kabur nya?"
1890760358882660843,Kemas Bachtiar Affandi,"Masalah Rakyat negeri ini ...
..Antri.. 🤔"
1890708825948200971,yu,Semoga semuanya lekas membaik deh
1890763548785004699,idham,ya Allah miris banget liat ini :(
1891050132075921679,CryptoDenT Reddio |Voltix.ai 👾,"Why wait? With PublicAI, you can train AI while chilling! 🏛️🧠 Let’s make data contributions the new cool trend! #KaburAjaDulu"
1890693405774135503,Papi Ucit,Asli klo msh muda mah gw kabur k LN
1890692565197885682,Ar1.,Terus cari kehidupan yang layak dong
1890748721819746512,Acap,Chaos banget tahun ini
1890721102076236166,Hijrah Time,Iya ya Allah beginilah ya negeri ini.  Semoga ke depannya akan lebih baik lagi
1890783308872560848,𝖆𝖇𝖎𝖇 𝖆𝖑𝖍𝖚𝖉𝖆,Indonesia cEMAS yaa
1890684630954602606,flos🌹,Ya allah sedih banget yah sekarang
1890772273574867026,M RASYID,Iya juga sih emang bener sulit banget ya
1890682301769523381,agistalita,#KaburAjaDulu https://t.co/HpUPQv8Nue
1890718094928052623,Arianaa,duhh sedihh banget ya dunia skrng
1890686288619086307,Captain.,miris banget ya keadaan sekarang ini
1890685004948160689,́𝐌𝐄_ 🌿,Ya Allah ringankanlah beban keluarga itu ya Allah
1890686244721467830,Mars 🦢,Kacau miris banget emang negara ini
1890774594484568219,KsatriaBajaRingan,Once upon a time di sebuah negara yg tidak becus diurus oleh pemerintah nya bertahun tahun
1890789866020970584,yoonme,"Info yg mau kabur , bareng"
1890900493938852185,Raka,Kabur kemana ya aku
1890694824291963196,',cape banget tinggal di indo
1890767103222751522,Natasha,Jadi dulu kayak gini ya Kak
1890844270367473743,Nikoo.,Berat emng tinggal d Indo
1890774747895767329,-,udah dari dulu kek gini
1890708812258066661,R'na,Ya begitula warga +62 makin sinih juga makin banyak pengangguran
1890752155612520769,𝙾𝙼𝙹 𝑻 𝑳𝒖𝒄𝒌𝒚²,Semoga indonesi bisa bangkit lagi
1890789449224573067,Aku😺,Bagi tugas ya  hehe
1890768837223555443,Reyhans,kalo ada duitnya pasti pindah sih
1890778592931361078,k,Kira-kira ada apa ya dengan negara yang seperti ini
1890751377707536437,Kirana,Susah amat ya hidup di negeri ini
1890955591692034277,Hendra Pratama,#KaburAjaDulu #KaburAjaDulu
1890685709264036148,ebyyyy,susah bgt hidup di negara konoha ini
1890798081588785558,hiii,kaisan bgt kalo dibikin kaya gini
1890780687621394782,𝐉,Makin dipersulit aja mau hidup juga
1890737930911551768,Jena Vey,"kak sedih jadinya, negara apa sih ini"
1890736042052915593,Guard,Hahah sedih banget sih ini yaa
1890684666195189944,Sasa,duh kapan majunya ya negara ini
1890751140716790169,Faul,Banyak banget ya kesusahan yang ada di negara+ 62 ini
1890766583380713505,emily,rusak banget emang udah penuh lagi
1890751455130165723,FiiOnlyOne,Begini banget hidup sulit nya
1890830768785469559,Sisil,Ini emg yg ril terjadi
1890704157755003159,N D R A 🐣,Iya Kak ini bener-bener sulit ya
1890990201943585008,Dion Wirabara,The Face Of Our Country 🤡
1890696745316667892,nicko,semoga diberikan kemudahan
1890845174542090318,Tania,Makin sulit ya hidup di negara ini
1890735589839753217,メ,yg buat kebijakan malah ngatain tidak ada jiwa nasionalisme haduh
1890737655698149570,rahma,Miris banget sih ya faktanya
1891039544113332282,caca,wkwk duh emang seperti itu sih
1890685498504384896,peh,Miris banget ya keadaan kita sekarang ternyata
1890740781524107681,Jerry 🐭,ihh gila bgt emg si
1890684663695388775,Jaenab,kacau sudah negara ini wkwk pgn bgt kabur rasanya
1890732857028448578,doodle_cloud,kuat kuat ya yang sedih mencari kerja
1890730049394929961,Sofiyatun Manja,Ya namanya Indonesia beginilahh
1890698598314119463,Dayu Dolma,Begini amat ya kak hidup
1890712826001424752,Putridiana💃,Iya juga sih emang itu bener sulit banget
1890712444005192052,Envy 🐢,antri semua ya gini amat di Indonesia
1890753135188049948,thalia,Tapi tapi mau kabur aja dulu kmn
1890765719899382232,Ku,Susah dikasih pemimpin malah milih Oke gas
1890720195510956087,Nia.Ghaitha🦋,Udah pokoknya antri aja semua
1890784020616630651,k a y y ⋆ ༻*ੈ✩,"info, kalian pada mau kabur kemana? ikutt"
1890771389256261711,Eza ⛧,sedih ya hidup di konoha sesusah ituu
1890738489550848140,Oid.,Complete ini satu keluarga ya
1890741484388794453,Ungkapan Rasa,Ngantri aja terus ya kan Kak
1890746979946234285,Benefit,Seperti ini banget ya kehidupan tuh
1890818518012076480,𝙀𝙩𝙢𝙞𝙣𝙙𝙯,Emang pada mau kabur ke mana sih
1890753720440262844,Mugon,Heheh ada ada aja yah kau ini ka
1890745203427770697,Atungali,Ini serius mau kabur kak? Kabur kemana dah?
1890795387344023863,Arjuna;,Kenapa jadi sedih banget ya liat negara ini
1890854833160138794,Paklek Kliwon,Semoga cepet sembuh ya negaraku
1890776656479940819,pawang barongsai,emang kocak banget negara ini
